Flair,Med. Score,Avg. Score,Med. Comments,Avg. Comments
Political,106.0,213.0691056910569,32.5,56.31707317073171
Non-Political,4.0,62.042814470627285,1.0,12.169432459342847
[R]eddiquette,11.0,69.88095238095238,2.0,31.25595238095238
AskIndia,4.0,12.326171513243192,5.0,12.266530839044268
Science/Technology,1.0,20.961505560307955,0.0,5.196749358426005
Policy/Economy,9.0,38.77759336099585,1.0,8.258921161825727
Finance/Business,22.0,72.9298245614035,11.0,34.900584795321635
Sports,1.0,48.334883720930236,0.0,5.013953488372093
Food,1.0,48.60327868852459,0.0,12.134426229508197
Photography,1.0,68.66469428007889,0.0,5.994082840236686
AMA,76.0,147.61428571428573,49.0,89.98095238095237
